"행정구역","2024년06월_계_총인구수","2024년06월_계_연령구간인구수","2024년06월_계_0~9세","2024년06월_계_10~19세","2024년06월_계_20~29세","2024년06월_계_30~39세","2024년06월_계_40~49세","2024년06월_계_50~59세","2024년06월_계_60~69세","2024년06월_계_70~79세","2024년06월_계_80~89세","2024년06월_계_90~99세","2024년06월_계_100세 이상"
"인천광역시 옹진군 덕적면(2872035000)","1,935","1,935","27","74","121","73","130","334","559","375","199","41","2"
"인천광역시 옹진군 영흥면(2872036000)","6,544","6,544","208","397","495","542","776","1,228","1,626","844","360","65","3"
"인천광역시 옹진군 자월면(2872037000)","961","961","10","20","57","49","71","174","289","179","95","16","1"
"인천광역시 옹진군 자월면이작출장소(2872037500)","373","373","6","23","17","21","32","58","113","53","37","12","1"
"인천광역시 옹진군 연평면(2872038000)","2,010","2,010","78","74","447","240","230","298","397","144","81","21","0"
"광주광역시  (2900000000)","1,413,606","1,413,606","95,958","146,228","186,157","173,673","223,567","242,982","187,681","100,869","49,060","7,230","201"
"광주광역시 동구 (2911000000)","106,462","106,462","7,160","7,463","14,583","14,169","14,390","15,922","15,727","10,497","5,715","818","18"
"광주광역시 동구 충장동(2911052500)","5,427","5,427","62","135","1,707","972","504","610","691","493","220","33","0"
"광주광역시 동구 동명동(2911054500)","3,566","3,566","55","172","755","418","375","519","482","454","287","47","2"
"광주광역시 동구 계림1동(2911056000)","10,108","10,108","855","540","1,189","1,711","1,405","1,554","1,502","876","418","57","1"
"광주광역시 동구 계림2동(2911057000)","13,383","13,383","1,692","1,115","1,260","2,322","2,197","1,725","1,432","996","571","72","1"
"광주광역시 동구 산수1동(2911059000)","7,896","7,896","383","630","951","943","1,064","1,311","1,242","829","478","63","2"
"광주광역시 동구 산수2동(2911060000)","9,673","9,673","509","668","1,026","1,015","1,246","1,608","1,711","1,162","642","86","0"
"광주광역시 동구 지산1동(2911062000)","4,049","4,049","104","308","929","368","471","591","574","415","256","32","1"
"광주광역시 동구 지산2동(2911063000)","4,179","4,179","139","310","797","368","458","686","621","449","315","35","1"
"광주광역시 동구 서남동(2911065500)","3,002","3,002","53","121","1,086","347","230","328","372","273","159","31","2"
"광주광역시 동구 학동(2911068500)","7,142","7,142","549","518","903","871","1,031","1,063","1,003","749","412","43","0"
"광주광역시 동구 학운동(2911071000)","10,817","10,817","441","820","1,137","897","1,235","1,651","1,981","1,574","921","156","4"
"광주광역시 동구 지원1동(2911073000)","9,044","9,044","609","748","985","1,122","1,222","1,435","1,481","944","435","62","1"
"광주광역시 동구 지원2동(2911074000)","18,176","18,176","1,709","1,378","1,858","2,815","2,952","2,841","2,635","1,283","601","101","3"
"광주광역시 서구 (2914000000)","281,113","281,113","16,565","27,625","39,427","33,574","43,073","50,147","38,533","20,748","9,898","1,480","43"
"광주광역시 서구 양동(2914057500)","2,982","2,982","71","107","235","253","294","449","627","562","331","52","1"
"광주광역시 서구 양3동(2914059000)","4,222","4,222","250","354","350","423","639","639","736","559","243","27","2"
"광주광역시 서구 농성1동(2914065000)","11,589","11,589","581","630","1,667","1,687","1,539","1,947","1,620","1,189","642","87","0"
"광주광역시 서구 농성2동(2914066000)","4,445","4,445","97","180","695","552","542","751","819","478","297","34","0"
"광주광역시 서구 광천동(2914073000)","5,676","5,676","433","428","643","815","894","1,006","810","434","180","31","2"
"광주광역시 서구 유덕동(2914074000)","10,333","10,333","603","1,074","1,485","1,270","1,692","2,004","1,178","619","358","50","0"
"광주광역시 서구 치평동(2914074500)","29,172","29,172","1,639","2,634","4,827","4,232","4,307","5,360","3,538","1,593","905","137","0"
"광주광역시 서구 상무1동(2914075100)","23,924","23,924","1,225","2,129","4,266","3,375","3,619","4,107","2,943","1,555","610","93","2"
"광주광역시 서구 상무2동(2914075200)","22,392","22,392","772","1,418","3,851","2,856","2,757","3,612","3,681","2,202","1,080","156","7"
"광주광역시 서구 화정1동(2914076000)","15,498","15,498","662","1,009","2,723","2,389","2,122","2,373","2,057","1,314","715","129","5"
"광주광역시 서구 화정2동(2914077000)","19,570","19,570","1,867","2,590","1,837","2,187","3,861","2,735","2,500","1,392","532","69","0"
"광주광역시 서구 화정3동(2914078000)","9,068","9,068","360","791","1,225","884","1,145","1,562","1,623","944","457","73","4"
"광주광역시 서구 화정4동(2914079000)","19,466","19,466","1,616","1,859","2,209","2,476","2,919","2,969","3,194","1,559","576","86","3"
"광주광역시 서구 서창동(2914080000)","6,867","6,867","530","571","712","797","912","1,368","1,091","532","297","55","2"
"광주광역시 서구 금호1동(2914082100)","19,256","19,256","896","1,850","2,408","1,896","2,539","3,785","3,369","1,616","773","121","3"
"광주광역시 서구 금호2동(2914082400)","26,874","26,874","1,877","3,563","3,652","2,724","4,599","5,579","2,886","1,333","580","76","5"
"광주광역시 서구 풍암동(2914083000)","34,431","34,431","2,060","4,153","4,889","3,445","5,815","7,090","3,922","1,914","996","142","5"
"광주광역시 서구 동천동(2914084000)","15,348","15,348","1,026","2,285","1,753","1,313","2,878","2,811","1,939","953","326","62","2"
"광주광역시 남구 (2915500000)","208,095","208,095","13,979","22,477","23,656","22,903","32,891","32,747","30,136","18,819","9,095","1,344","48"
"광주광역시 남구 양림동(2915551000)","6,502","6,502","269","683","732","503","871","1,075","997","851","455","65","1"
"광주광역시 남구 방림1동(2915552000)","6,647","6,647","444","672","693","760","1,063","1,049","927","679","333","26","1"
"광주광역시 남구 방림2동(2915553000)","9,000","9,000","490","723","1,013","946","1,166","1,445","1,466","1,111","541","96","3"
"광주광역시 남구 봉선1동(2915553700)","12,607","12,607","620","1,245","1,572","1,362","1,846","2,040","1,949","1,170","686","112","5"
"광주광역시 남구 봉선2동(2915553800)","27,613","27,613","2,336","4,964","2,663","2,168","5,511","4,316","3,090","1,602","836","124","3"
"광주광역시 남구 사직동(2915554500)","4,634","4,634","192","240","484","534","589","758","818","592","385","41","1"
"광주광역시 남구 월산동(2915560500)","8,463","8,463","578","496","825","1,111","1,201","1,266","1,315","1,039","546","84","2"
"광주광역시 남구 월산4동(2915563000)","7,979","7,979","234","479","978","937","1,008","1,323","1,485","1,006","460","66","3"
"광주광역시 남구 월산5동(2915564000)","5,813","5,813","144","288","724","592","690","972","1,219","794","342","47","1"
"광주광역시 남구 백운1동(2915567000)","11,556","11,556","622","1,120","1,296","1,105","1,735","1,799","1,944","1,235","600","99","1"
"광주광역시 남구 백운2동(2915568000)","6,779","6,779","424","433","1,037","954","939","1,005","988","630","331","37","1"
"광주광역시 남구 주월1동(2915569000)","20,953","20,953","1,339","2,185","2,610","2,369","3,268","3,612","3,044","1,759","671","94","2"
"광주광역시 남구 주월2동(2915570000)","7,407","7,407","316","511","770","748","977","1,244","1,422","957","409","49","4"
"광주광역시 남구 진월동(2915570500)","27,822","27,822","1,586","3,750","3,744","2,519","4,344","4,732","3,722","2,221","1,064","137","3"
"광주광역시 남구 효덕동(2915571000)","15,162","15,162","1,095","1,679","1,771","1,909","2,531","2,153","2,105","1,323","508","78","10"
"광주광역시 남구 송암동(2915572000)","21,012","21,012","2,641","2,438","2,140","3,270","4,043","2,810","2,246","974","370","76","4"
"광주광역시 남구 대촌동(2915573000)","8,146","8,146","649","571","604","1,116","1,109","1,148","1,399","876","558","113","3"
"광주광역시 북구 (2917000000)","423,982","423,982","28,177","39,954","54,500","53,726","63,994","72,542","61,230","32,404","15,181","2,221","53"
"광주광역시 북구 중흥1동(2917051000)","4,403","4,403","188","143","695","880","557","600","656","442","214","28","0"
"광주광역시 북구 중흥동(2917053500)","15,128","15,128","1,043","1,053","2,597","2,257","2,175","2,155","1,765","1,318","673","91","1"
"광주광역시 북구 중앙동(2917055500)","3,711","3,711","226","176","545","562","540","593","561","332","151","22","3"
"광주광역시 북구 임동(2917057000)","13,585","13,585","1,223","860","1,595","2,744","1,986","1,907","1,681","1,085","443","60","1"
"광주광역시 북구 신안동(2917058000)","12,186","12,186","486","554","2,048","1,991","1,550","1,933","1,872","1,116","578","57","1"
"광주광역시 북구 용봉동(2917059000)","36,810","36,810","2,025","3,314","6,640","4,401","4,958","6,374","5,240","2,546","1,156","153","3"
"광주광역시 북구 운암1동(2917060100)","18,336","18,336","1,323","2,160","2,118","1,868","2,911","3,036","2,755","1,540","546","79","0"
"광주광역시 북구 운암2동(2917060200)","11,077","11,077","363","779","1,341","1,163","1,425","1,882","2,107","1,305","638","69","5"
"광주광역시 북구 운암3동(2917060300)","13,175","13,175","881","1,318","1,609","1,562","1,850","2,243","2,217","1,001","412","81","1"
"광주광역시 북구 동림동(2917061500)","22,495","22,495","1,683","2,105","2,509","3,123","3,617","3,955","3,189","1,595","629","86","4"
"광주광역시 북구 우산동(2917062000)","15,666","15,666","1,242","1,276","1,529","2,100","2,391","2,251","2,382","1,648","739","105","3"
"광주광역시 북구 풍향동(2917063500)","5,171","5,171","400","469","582","583","833","849","719","474","227","34","1"
"광주광역시 북구 문화동(2917065000)","22,920","22,920","1,874","1,731","2,473","3,511","3,287","3,638","3,492","1,927","838","145","4"
"광주광역시 북구 문흥1동(2917065600)","15,326","15,326","816","1,640","1,977","1,490","2,114","2,833","2,617","1,209","560","68","2"
"광주광역시 북구 문흥2동(2917065700)","14,559","14,559","708","1,238","2,171","1,719","1,990","2,371","2,326","1,225","709","101","1"
"광주광역시 북구 두암1동(2917066100)","7,097","7,097","189","474","915","688","765","1,295","1,314","967","434","54","2"
"광주광역시 북구 두암2동(2917066200)","14,803","14,803","543","1,108","1,796","1,484","1,903","2,683","2,803","1,684","695","103","1"
"광주광역시 북구 두암3동(2917066300)","12,163","12,163","285","640","1,212","1,020","1,251","2,137","2,835","1,705","930","147","1"
"광주광역시 북구 삼각동(2917066600)","13,185","13,185","728","1,428","1,823","1,511","2,038","2,664","1,807","801","331","54","0"
"광주광역시 북구 일곡동(2917066900)","27,838","27,838","1,685","3,839","4,016","2,790","4,390","5,882","3,181","1,196","741","116","2"
"광주광역시 북구 매곡동(2917067300)","13,111","13,111","871","1,486","1,651","1,480","1,934","2,426","1,910","822","446","83","2"
"광주광역시 북구 오치1동(2917067600)","10,084","10,084","354","875","1,341","1,151","1,337","1,965","1,722","907","381","51","0"
"광주광역시 북구 오치2동(2917067700)","11,431","11,431","383","646","1,405","1,326","1,338","2,028","2,379","1,173","642","106","5"
"광주광역시 북구 석곡동(2917068500)","2,292","2,292","51","97","160","173","169","403","594","366","241","37","1"
"광주광역시 북구 건국동(2917069500)","21,424","21,424","2,152","2,556","2,343","2,887","3,860","3,589","2,335","1,092","515","92","3"
"광주광역시 북구 양산동(2917069600)","35,314","35,314","2,903","3,737","4,309","4,756","6,143","6,116","4,307","1,956","946","137","4"
"광주광역시 북구 신용동(2917069700)","30,692","30,692","3,552","4,252","3,100","4,506","6,682","4,734","2,464","972","366","62","2"
"광주광역시 광산구 (2920000000)","393,954","393,954","30,077","48,709","53,991","49,301","69,219","71,624","42,055","18,401","9,171","1,367","39"
"광주광역시 광산구 송정1동(2920051500)","10,258","10,258","472","961","1,488","1,051","1,506","1,914","1,476","913","421","56","0"
"광주광역시 광산구 송정2동(2920052500)","6,141","6,141","295","298","867","850","745","1,015","909","735","383","43","1"
"광주광역시 광산구 도산동(2920054000)","14,427","14,427","1,080","1,376","1,889","1,827","2,264","2,633","1,763","1,050","495","50","0"
"광주광역시 광산구 신흥동(2920055000)","4,224","4,224","217","342","511","437","579","745","692","451","213","34","3"
"광주광역시 광산구 어룡동(2920056500)","33,390","33,390","3,229","3,904","3,736","4,703","6,342","5,349","3,706","1,610","686","121","4"
"광주광역시 광산구 우산동(2920058000)","28,651","28,651","2,240","2,054","3,489","4,655","4,133","5,095","4,143","1,749","938","150","5"
"광주광역시 광산구 월곡1동(2920060000)","9,718","9,718","490","885","1,359","1,153","1,200","1,986","1,679","625","280","60","1"
"광주광역시 광산구 월곡2동(2920061000)","14,705","14,705","805","1,618","2,028","1,586","2,244","3,029","2,097","873","385","38","2"
"광주광역시 광산구 비아동(2920062000)","7,292","7,292","512","779","815","694","1,275","1,543","954","428","243","49","0"
"광주광역시 광산구 첨단1동(2920062400)","27,732","27,732","1,870","3,055","4,429","3,999","3,947","5,587","3,346","935","497","65","2"
"광주광역시 광산구 첨단2동(2920062600)","41,516","41,516","2,796","4,755","7,280","5,849","6,711","8,133","3,945","1,269","672","103","3"
"광주광역시 광산구 신가동(2920063000)","18,913","18,913","1,736","2,733","2,597","2,114","3,643","3,657","1,476","653","283","21","0"
"광주광역시 광산구 운남동(2920063500)","29,099","29,099","1,955","3,437","4,077","3,399","5,004","5,785","3,204","1,385","741","110","2"
"광주광역시 광산구 수완동(2920063700)","74,403","74,403","6,837","13,537","9,557","7,824","16,317","12,546","4,941","2,029","713","100","2"
"광주광역시 광산구 하남동(2920064000)","26,987","26,987","2,491","3,441","3,746","3,824","5,378","4,396","2,551","788","321","48","3"
"광주광역시 광산구 임곡동(2920065000)","1,966","1,966","41","100","105","124","150","329","482","323","255","55","2"
"광주광역시 광산구 동곡동(2920066000)","1,666","1,666","26","58","111","101","147","265","397","315","220","26","0"
"광주광역시 광산구 평동(2920067000)","5,047","5,047","202","214","522","652","620","863","955","606","355","55","3"
"광주광역시 광산구 삼도동(2920068000)","2,135","2,135","38","111","129","131","174","334","505","370","286","55","2"
"광주광역시 광산구 본량동(2920069000)","1,858","1,858","20","77","88","99","156","320","417","323","312","44","2"
"광주광역시 광산구 신창동(2920070000)","33,826","33,826","2,725","4,974","5,168","4,229","6,684","6,100","2,417","971","472","84","2"
"대전광역시  (3000000000)","1,440,558","1,440,558","93,829","136,682","196,552","189,064","216,253","244,589","203,950","102,153","49,755","7,513","218"
"대전광역시 동구 (3011000000)","215,936","215,936","11,569","18,708","28,328","23,524","30,277","36,387","34,974","20,346","10,369","1,407","47"
"대전광역시 동구 중앙동(3011051500)","3,697","3,697","67","88","209","286","365","651","974","651","362","43","1"
"대전광역시 동구 효동(3011053000)","22,542","22,542","1,627","3,155","2,244","2,014","4,165","3,868","2,935","1,674","746","112","2"
"대전광역시 동구 신인동(3011054500)","15,137","15,137","1,291","1,086","1,311","2,352","2,222","2,342","2,279","1,463","702","86","3"
"대전광역시 동구 판암1동(3011055100)","12,045","12,045","638","828","1,242","1,319","1,522","2,126","2,222","1,274","758","112","4"
"대전광역시 동구 판암2동(3011055200)","7,927","7,927","173","314","569","640","801","1,307","1,895","1,320","787","120","1"
"대전광역시 동구 용운동(3011056000)","21,353","21,353","1,478","1,724","3,183","2,798","2,932","3,604","3,189","1,644","689","107","5"
"대전광역시 동구 대동(3011058500)","13,920","13,920","1,030","1,457","1,470","1,565","2,222","2,301","2,049","1,125","609","88","4"
"대전광역시 동구 자양동(3011059000)","10,885","10,885","261","857","3,087","969","1,075","1,505","1,615","952","499","63","2"
"대전광역시 동구 가양1동(3011062000)","12,809","12,809","519","1,033","1,782","1,191","1,718","2,182","2,246","1,352","694","91","1"
"대전광역시 동구 가양2동(3011063000)","18,817","18,817","768","1,634","3,021","2,065","2,439","3,311","3,048","1,647","791","91","2"
"대전광역시 동구 용전동(3011064000)","20,151","20,151","817","1,351","3,867","2,915","2,827","3,325","2,783","1,495","700","66","5"
"대전광역시 동구 성남동(3011066500)","10,875","10,875","656","771","1,087","1,176","1,499","1,861","1,977","1,158","594","91","5"
"대전광역시 동구 홍도동(3011067000)","11,153","11,153","453","772","2,107","1,357","1,383","1,862","1,780","919","455","65","0"
"대전광역시 동구 삼성동(3011069500)","12,963","12,963","526","1,004","1,238","1,169","1,692","2,339","2,478","1,581","834","99","3"
"대전광역시 동구 대청동(3011072500)","2,215","2,215","39","102","158","119","173","407","583","340","246","47","1"
"대전광역시 동구 산내동(3011074000)","19,447","19,447","1,226","2,532","1,753","1,589","3,242","3,396","2,921","1,751","903","126","8"
"대전광역시 중구 (3014000000)","223,304","223,304","11,796","19,574","26,733","24,330","31,659","38,849","35,435","21,952","11,309","1,619","48"
"대전광역시 중구 은행선화동(3014053500)","15,755","15,755","989","1,058","2,311","2,592","2,379","2,469","2,107","1,209","547","89","5"
"대전광역시 중구 목동(3014055000)","17,605","17,605","1,735","2,824","1,824","2,062","3,530","2,854","1,513","784","414","62","3"
"대전광역시 중구 중촌동(3014056000)","13,590","13,590","894","1,023","1,420","1,742","1,957","2,339","2,105","1,364","643","102","1"
"대전광역시 중구 대흥동(3014057500)","13,011","13,011","625","996","2,340","1,802","1,889","1,907","1,805","1,030","509","104","4"
"대전광역시 중구 문창동(3014060500)","4,232","4,232","118","260","367","337","486","748","925","578","356","55","2"
"대전광역시 중구 석교동(3014062000)","14,638","14,638","489","914","1,431","1,306","1,710","2,592","3,140","1,953","985","117","1"
"대전광역시 중구 대사동(3014063000)","5,322","5,322","129","253","955","600","536","825","974","591","406","51","2"
"대전광역시 중구 부사동(3014064000)","6,314","6,314","229","364","636","617","761","1,124","1,275","819","424","63","2"
"대전광역시 중구 용두동(3014065500)","8,879","8,879","360","594","1,615","1,313","1,183","1,403","1,094","756","512","49","0"
"대전광역시 중구 오류동(3014067000)","10,216","10,216","516","671","1,336","1,345","1,263","1,822","1,486","1,046","615","112","4"
"대전광역시 중구 태평1동(3014068000)","12,660","12,660","828","1,382","1,341","1,232","2,061","2,336","1,723","1,113","572","70","2"
"대전광역시 중구 태평2동(3014069000)","24,267","24,267","1,326","2,719","2,618","1,937","3,563","4,526","3,679","2,498","1,223","174","4"
"대전광역시 중구 유천1동(3014070000)","5,848","5,848","229","257","654","741","780","1,018","1,168","649","304","46","2"
"대전광역시 중구 유천2동(3014071000)","13,051","13,051","616","910","1,577","1,384","1,665","2,092","2,344","1,554","807","98","4"
"대전광역시 중구 문화1동(3014072000)","20,683","20,683","1,346","2,510","2,555","1,909","3,254","3,605","2,685","1,745","944","127","3"
"대전광역시 중구 문화2동(3014073000)","11,611","11,611","387","863","1,157","1,178","1,405","2,224","2,188","1,279","787","139","4"
"대전광역시 중구 산성동(3014074000)","25,622","25,622","980","1,976","2,596","2,233","3,237","4,965","5,224","2,984","1,261","161","5"
"대전광역시 서구 (3017000000)","461,940","461,940","30,098","45,800","66,857","63,302","70,948","77,219","62,023","29,751","13,731","2,160","51"
"대전광역시 서구 복수동(3017051000)","21,632","21,632","1,517","2,812","2,664","2,151","3,720","3,905","2,689","1,479","613","78","4"
"대전광역시 서구 도마1동(3017052000)","18,883","18,883","1,211","1,238","2,789","2,555","2,315","2,923","3,083","1,816","827","125","1"
"대전광역시 서구 도마2동(3017053000)","16,390","16,390","637","1,198","2,115","1,723","1,938","2,837","3,089","1,890","832","125","6"
"대전광역시 서구 정림동(3017053500)","15,206","15,206","729","1,291","1,567","1,472","1,943","2,769","3,152","1,477","687","119","0"
"대전광역시 서구 변동(3017054000)","13,124","13,124","630","938","1,449","1,557","1,775","2,293","2,416","1,362","619","83","2"
"대전광역시 서구 용문동(3017055000)","11,783","11,783","444","497","2,223","2,109","1,567","1,731","1,631","1,007","499","74","1"
"대전광역시 서구 탄방동(3017055500)","26,571","26,571","1,356","2,166","4,998","4,705","4,059","4,215","3,086","1,287","600","97","2"
"대전광역시 서구 괴정동(3017056000)","18,674","18,674","819","1,207","4,228","3,752","2,582","2,531","1,984","1,069","446","55","1"
"대전광역시 서구 가장동(3017057000)","10,871","10,871","562","953","1,359","1,217","1,563","1,918","1,653","1,077","502","66","1"
"대전광역시 서구 내동(3017057500)","22,660","22,660","1,333","2,381","2,792","2,436","3,438","3,922","3,463","1,915","849","130","1"
"대전광역시 서구 갈마1동(3017058100)","21,076","21,076","815","1,419","4,155","3,405","2,839","3,208","3,207","1,357","572","97","2"
"대전광역시 서구 갈마2동(3017058200)","24,004","24,004","1,021","1,710","5,142","4,315","3,306","3,915","2,973","1,093","469","60","0"
"대전광역시 서구 월평1동(3017058600)","11,163","11,163","293","496","2,903","2,008","1,343","1,704","1,461","621","296","37","1"
"대전광역시 서구 월평2동(3017058700)","13,514","13,514","591","1,131","1,438","1,396","1,588","2,440","2,663","1,320","785","156","6"
"대전광역시 서구 월평3동(3017058800)","20,320","20,320","1,420","2,378","2,200","2,437","3,002","3,661","3,420","1,208","499","95","0"
"대전광역시 서구 가수원동(3017059000)","10,352","10,352","471","886","1,113","1,090","1,304","1,856","2,005","1,024","532","68","3"
"대전광역시 서구 도안동(3017059300)","36,499","36,499","4,934","5,011","4,018","5,803","7,652","4,924","2,875","928","291","62","1"
"대전광역시 서구 관저1동(3017059600)","14,870","14,870","932","1,415","2,508","1,933","2,045","2,662","1,973","846","479","75","2"
"대전광역시 서구 관저2동(3017059700)","48,349","48,349","4,691","5,883","6,260","6,769","8,802","8,327","4,622","1,945","904","142","4"
"대전광역시 서구 기성동(3017060000)","3,403","3,403","70","145","197","215","337","570","778","559","444","81","7"
"대전광역시 서구 둔산1동(3017063000)","16,370","16,370","1,312","3,259","1,421","1,173","3,692","2,741","1,420","865","421","64","2"
"대전광역시 서구 둔산2동(3017064000)","35,146","35,146","2,648","3,615","4,960","5,534","5,486","6,493","4,145","1,537","624","103","1"
"대전광역시 서구 만년동(3017065000)","12,148","12,148","727","1,075","2,156","1,994","1,675","2,197","1,515","522","246","41","0"
"대전광역시 서구 둔산3동(3017066000)","18,932","18,932","935","2,696","2,202","1,553","2,977","3,477","2,720","1,547","695","127","3"
"대전광역시 유성구 (3020000000)","369,288","369,288","31,709","38,411","53,634","58,288","60,260","58,902","42,440","16,601","7,615","1,391","37"
"대전광역시 유성구 진잠동(3020052000)","25,445","25,445","1,573","2,307","3,123","3,132","3,797","4,938","3,823","1,709","893","147","3"
"대전광역시 유성구 학하동(3020052600)","19,483","19,483","1,854","1,473","3,141","3,281","2,937","2,826","2,767","835","298","70","1"
"대전광역시 유성구 상대동(3020052700)","25,233","25,233","2,782","3,581","2,397","3,016","4,875","4,228","2,934","971","371","75","3"
"대전광역시 유성구 온천1동(3020053000)","26,651","26,651","747","897","6,464","5,619","3,088","3,809","3,487","1,626","790","117","7"
"대전광역시 유성구 온천2동(3020054000)","40,535","40,535","2,823","3,071","9,816","5,818","5,270","5,582","5,067","2,076","840","169","3"
"대전광역시 유성구 노은1동(3020054600)","21,024","21,024","1,673","2,794","2,577","3,002","3,771","3,531","2,115","1,012","466","80","3"
"대전광역시 유성구 노은2동(3020054700)","23,515","23,515","1,704","3,103","2,894","2,752","4,057","4,304","2,718","1,160","718","102","3"
"대전광역시 유성구 노은3동(3020054800)","36,435","36,435","3,865","4,672","3,457","4,949","7,163","5,811","4,010","1,741","646","119","2"
"대전광역시 유성구 신성동(3020055000)","25,611","25,611","2,366","2,623","4,122","5,113","3,904","3,648","2,433","875","444","82","1"
"대전광역시 유성구 전민동(3020057000)","25,945","25,945","2,136","2,821","3,749","4,384","3,912","4,213","3,161","949","478","141","1"
"대전광역시 유성구 구즉동(3020058000)","32,901","32,901","2,865","3,028","4,360","6,132","5,126","5,550","3,532","1,403","777","124","4"
"대전광역시 유성구 관평동(3020060000)","36,411","36,411","4,000","4,996","4,462","5,772","6,853","6,061","2,934","887","371","73","2"
"대전광역시 유성구 원신흥동(3020061000)","30,099","30,099","3,321","3,045","3,072","5,318","5,507","4,401","3,459","1,357","523","92","4"
"대전광역시 대덕구 (3023000000)","170,090","170,090","8,657","14,189","21,000","19,620","23,109","33,232","29,078","13,503","6,731","936","35"
"대전광역시 대덕구 오정동(3023051000)","13,824","13,824","440","922","2,143","1,390","1,585","2,449","2,722","1,476","601","91","5"
"대전광역시 대덕구 대화동(3023052000)","6,326","6,326","187","397","629","670","866","1,226","1,261","732","313","45","0"
"대전광역시 대덕구 회덕동(3023052500)","12,751","12,751","589","875","1,229","1,481","1,535","2,413","2,591","1,229","713","95","1"
"대전광역시 대덕구 비래동(3023053300)","15,161","15,161","630","1,300","1,844","1,387","1,961","3,143","2,823","1,355","621","93","4"
"대전광역시 대덕구 송촌동(3023054300)","25,850","25,850","1,449","3,159","3,534","2,453","3,905","5,744","3,551","1,226","721","104","4"
"대전광역시 대덕구 중리동(3023054600)","18,461","18,461","636","1,272","2,595","2,054","2,460","3,653","3,401","1,574","740","74","2"
"대전광역시 대덕구 신탄진동(3023055000)","15,584","15,584","914","1,066","1,794","2,249","2,063","2,971","2,564","1,243","631","85","4"
"대전광역시 대덕구 석봉동(3023056000)","16,064","16,064","1,585","1,657","1,673","2,536","2,775","2,622","2,017","758","383","57","1"
"대전광역시 대덕구 덕암동(3023057000)","12,790","12,790","510","894","1,800","1,630","1,647","2,510","2,074","1,065","566","90","4"
"대전광역시 대덕구 목상동(3023058000)","6,049","6,049","288","499","844","916","982","1,127","867","334","173","17","2"
"대전광역시 대덕구 법1동(3023060000)","12,310","12,310","733","926","1,231","1,514","1,527","2,363","2,189","1,154","580","89","4"
"대전광역시 대덕구 법2동(3023061000)","14,920","14,920","696","1,222","1,684","1,340","1,803","3,011","3,018","1,357","689","96","4"
"울산광역시  (3100000000)","1,100,304","1,100,304","75,863","109,078","119,468","136,569","175,492","204,259","172,554","74,383","28,660","3,889","89"
"울산광역시 중구 (3111000000)","207,693","207,693","12,945","19,053","21,081","24,604","31,025","38,641","35,710","17,147","6,655","820","12"
"울산광역시 중구 학성동(3111051000)","10,741","10,741","457","606","1,038","1,346","1,308","1,851","2,101","1,408","575","49","2"
"울산광역시 중구 반구1동(3111052000)","15,684","15,684","949","1,246","1,529","1,997","2,403","2,950","2,848","1,284","427","50","1"
"울산광역시 중구 반구2동(3111053000)","8,205","8,205","267","488","1,015","972","980","1,589","1,602","895","351","46","0"
"울산광역시 중구 복산동(3111055500)","20,774","20,774","2,213","1,735","1,964","3,886","3,116","3,211","2,802","1,312","467","68","0"
"울산광역시 중구 중앙동(3111058500)","11,371","11,371","289","513","1,097","1,127","1,273","2,099","2,660","1,563","674","76","0"
"울산광역시 중구 우정동(3111059000)","17,644","17,644","967","1,519","1,758","2,077","2,461","3,127","3,224","1,715","690","106","0"
"울산광역시 중구 태화동(3111060000)","31,468","31,468","2,428","3,651","2,916","3,685","5,406","5,588","4,857","2,086","767","83","1"
"울산광역시 중구 다운동(3111061000)","21,249","21,249","693","1,592","2,500","1,858","2,426","4,608","4,385","2,121","936","128","2"
"울산광역시 중구 병영1동(3111062000)","20,649","20,649","1,041","1,958","2,230","2,023","2,779","4,212","4,013","1,724","597","71","1"
"울산광역시 중구 병영2동(3111063000)","19,398","19,398","1,393","2,028","1,757","2,234","3,279","3,380","3,369","1,367","535","54","2"
"울산광역시 중구 약사동(3111064000)","10,484","10,484","1,058","1,290","1,055","1,399","1,836","1,913","1,284","449","172","28","0"
"울산광역시 중구 성안동(3111065000)","20,026","20,026","1,190","2,427","2,222","2,000","3,758","4,113","2,565","1,223","464","61","3"
"울산광역시 남구 (3114000000)","305,262","305,262","19,033","27,851","37,493","40,352","45,859","58,569","47,707","20,280","7,242","861","15"
"울산광역시 남구 신정1동(3114051000)","17,754","17,754","727","1,009","1,937","2,424","2,210","3,091","3,593","1,957","737","68","1"
"울산광역시 남구 신정2동(3114052000)","24,558","24,558","1,782","3,147","2,582","2,730","4,286","4,738","3,256","1,472","501","62","2"
"울산광역시 남구 신정3동(3114053000)","15,670","15,670","979","1,217","1,600","1,874","2,252","2,981","2,863","1,346","491","67","0"
"울산광역시 남구 신정4동(3114054000)","19,645","19,645","1,318","2,202","2,298","2,369","3,153","3,629","2,832","1,339","448","57","0"
"울산광역시 남구 신정5동(3114055000)","8,338","8,338","362","542","1,099","1,235","1,189","1,570","1,396","681","243","21","0"
"울산광역시 남구 달동(3114056000)","25,889","25,889","1,116","1,790","3,444","3,692","3,737","4,918","4,557","1,804","740","89","2"
"울산광역시 남구 삼산동(3114057000)","47,450","47,450","2,627","3,964","6,884","7,380","7,554","9,290","6,636","2,357","653","104","1"
"울산광역시 남구 삼호동(3114058500)","19,892","19,892","923","1,411","2,453","2,417","2,436","4,386","3,702","1,443","648","73","0"
